member_id,unit_id,stratum,concept,rank_correlation_zero_lag,overlap_at_fixed_sparsity,sparsity,best_lag,lag_correlation,partial_rank_correlation,validity_tag,bootstrap_group,bootstrap_recurrence,lag_correlation_ci95_lower,lag_correlation_ci95_upper
2864601_0.437,2864601_0.437:u000,stable_or_near_floor,radial_drift_geodesic_curvature__mean_w9,0.20856637215667256,0.05416666666666667,0.05,34,-0.3156076978261896,-0.31224564352645756,observed-comparison,equilibrium_files,0.0,-0.3637422803011848,-0.2701345599163716
2864601_0.437,2864601_0.437:u000,stable_or_near_floor,radial_drift_geodesic_curvature__mean_w25,0.25841373546710344,0.07916666666666666,0.05,34,-0.3865685541654337,-0.38042413512152023,observed-comparison,equilibrium_files,0.522,-0.43575478084128605,-0.33479212538121483
2864601_0.437,2864601_0.437:u000,stable_or_near_floor,abs_radial_drift_geodesic_curvature,-0.009752911612566655,0.075,0.05,-25,0.13091401427620367,0.12869726898778042,observed-comparison,equilibrium_files,0.0,0.0938498518410566,0.16726391310551164
2864601_0.437,2864601_0.437:u000,stable_or_near_floor,abs_radial_drift_geodesic_curvature__mean_w9,-0.011404139580524999,0.06916666666666667,0.05,-24,0.15734538852794736,0.1577109679171832,observed-comparison,equilibrium_files,0.0,0.11193590882213982,0.20173851576967133
2864601_0.437,2864601_0.437:u000,stable_or_near_floor,abs_radial_drift_geodesic_curvature__mean_w25,-0.01299992270936485,0.07666666666666666,0.05,-29,0.18921302482606298,0.18531206577745238,observed-comparison,equilibrium_files,0.0,0.12854064998355055,0.2461568922666227
2864601_0.437,2864601_0.437:u000,stable_or_near_floor,compression_abs_grad_x,-0.027502040023759392,0.09250000000000001,0.05,-30,0.07592028458291072,0.06993640200385265,observed-comparison,equilibrium_files,0.0,0.03228496311288552,0.12012692228195368
2864601_0.437,2864601_0.437:u000,stable_or_near_floor,compression_abs_grad_x__mean_w9,-0.03421469698969552,0.0875,0.05,-30,0.08996442400436526,0.08628149213406945,observed-comparison,equilibrium_files,0.0,0.04005681275669355,0.13569131228122372
2864601_0.437,2864601_0.437:u000,stable_or_near_floor,compression_abs_grad_x__mean_w25,-0.05740147770831052,0.0575,0.05,17,-0.12099645268486328,-0.11305461431161733,observed-comparison,equilibrium_files,0.0,-0.17699400074996283,-0.056560540781838795
2864601_0.437,2864601_0.437:u000,stable_or_near_floor,compression_abs_grad_x_p2,-0.027502040023759392,0.09250000000000001,0.05,-30,0.07684749503949131,0.06993640200385265,observed-comparison,equilibrium_files,0.0,0.03374189059333958,0.11956784958913638
2864601_0.437,2864601_0.437:u000,stable_or_near_floor,compression_abs_grad_x_p2__mean_w9,-0.03296773689044624,0.08833333333333335,0.05,-29,0.09016862884242077,0.08686147862880729,observed-comparison,equilibrium_files,0.0,0.04154753192508726,0.13515774432461036
2864601_0.437,2864601_0.437:u000,stable_or_near_floor,compression_abs_grad_x_p2__mean_w25,-0.055096754030293425,0.056666666666666664,0.05,17,-0.12216065437340648,-0.11357681867922906,observed-comparison,equilibrium_files,0.0,-0.1770665157132071,-0.05626887350952554
2864601_0.437,2864601_0.437:u000,stable_or_near_floor,compression_abs_grad_x_p3,-0.027502040023759392,0.09250000000000001,0.05,-30,0.07577427911925737,0.06993640200385265,observed-comparison,equilibrium_files,0.0,0.034021417637456544,0.11666769770111843
2864601_0.437,2864601_0.437:u000,stable_or_near_floor,compression_abs_grad_x_p3__mean_w9,-0.03213483326654922,0.08499999999999999,0.05,-29,0.0891413100811992,0.08683954880264129,observed-comparison,equilibrium_files,0.0,0.039940340210981445,0.13386860713801077
2864601_0.437,2864601_0.437:u000,stable_or_near_floor,compression_abs_grad_x_p3__mean_w25,-0.05208684689853464,0.04916666666666667,0.05,18,-0.12259897934171865,-0.11373372255265903,observed-comparison,equilibrium_files,0.0,-0.17958486211272523,-0.05747112377672638
2864601_0.437,2864601_0.437:u000,stable_or_near_floor,compression_abs_grad_x_p4,-0.027502040023759392,0.09250000000000001,0.05,-30,0.07377904948619658,0.06993640200385265,observed-comparison,equilibrium_files,0.0,0.032080387534255725,0.114603646699947
