member_id,unit_id,unit_index,stratum,n_equilibrium_files,signed_mean,standard_deviation,q50,q90,q99,maximum,active_fraction,median_active_positions,median_halfmax_positions,q90_halfmax_positions,s04_shapley_mean_absolute,s04_mean_ablation_rms,s04_shapley_rank
2864601_0.371,2864601_0.371:u004,4,stable_or_near_floor,240,1.0264397859573364,2.2583343982696533,0.0,4.5163536548614545,9.574388408660893,10.888999938964844,0.25026041666666665,0.0,96.0,96.0,0.19944169771671294,0.28279175221575353,2.0
2864601_0.371,2864601_0.371:u004,4,unstable,760,0.41621068120002747,1.4917514324188232,0.0,0.3263043642044107,7.972810049057011,10.326804161071777,0.10844298245614035,0.0,96.0,96.0,0.19944169771671294,0.28279175221575353,2.0
2864601_0.371,2864601_0.371:u005,5,overall,1000,0.42989078164100647,1.0319254398345947,0.0,1.6811267852783218,4.810711584091184,13.5494384765625,0.2648229166666667,8.0,46.5,96.0,0.021583470540121198,0.06728271432610967,9.0
2864601_0.371,2864601_0.371:u005,5,stable_or_near_floor,240,0.381367951631546,1.039966106414795,0.0,1.47736452817917,5.167079067230228,10.005890846252441,0.22651909722222222,2.0,71.5,96.0,0.021583470540121198,0.06728271432610967,9.0
2864601_0.371,2864601_0.371:u005,5,unstable,760,0.44521376490592957,1.0288978815078735,0.0,1.7360656738281264,4.726311683654785,13.5494384765625,0.27691885964912283,10.0,41.0,96.0,0.021583470540121198,0.06728271432610967,9.0
2864601_0.371,2864601_0.371:u008,8,overall,1000,0.010663856752216816,0.14417944848537445,0.0,0.0,0.15346519142388307,9.464521408081055,0.012197916666666666,0.0,96.0,96.0,0.0019013052890077234,0.009093161046024836,20.0
2864601_0.371,2864601_0.371:u008,8,stable_or_near_floor,240,0.009985649958252907,0.1289365291595459,0.0,0.0,0.04698755212128464,3.4873275756835938,0.010199652777777778,0.0,96.0,96.0,0.0019013052890077234,0.009093161046024836,20.0
2864601_0.371,2864601_0.371:u008,8,unstable,760,0.01087802555412054,0.14866802096366882,0.0,0.0,0.17912866175174713,9.464521408081055,0.012828947368421053,0.0,96.0,96.0,0.0019013052890077234,0.009093161046024836,20.0
2864601_0.371,2864601_0.371:u009,9,overall,1000,0.1883506029844284,0.858526349067688,0.0,0.1291528195142746,4.962645549774111,11.357818603515625,0.111125,0.0,96.0,96.0,0.010524399033398368,0.09313016103977927,15.0
2864601_0.371,2864601_0.371:u009,9,stable_or_near_floor,240,0.14353226125240326,0.7738956809043884,0.0,0.0,4.087503433227539,11.357818603515625,0.0890625,0.0,96.0,96.0,0.010524399033398368,0.09313016103977927,15.0
