member_id,filter_index,channel_index,channel_name,kernel_width,dc_amplitude,peak_frequency_index,spectral_centroid,kernel_l1,kernel_l2
2864601_0.437,18,4,gds2,13,0.5561870448291302,5,17.003239157359396,1.1641300916671753,0.3692629635334015
2864601_0.437,18,5,gds21_over_shat,13,0.36324852146208286,5,18.084007265389605,1.0561131238937378,0.3571876883506775
2864601_0.437,18,6,gds22_over_shat_squared,13,0.16430263128131628,9,19.036573653297914,1.235751748085022,0.4141070246696472
2864601_0.437,19,0,bmag,13,0.1561021041125059,7,12.867954455753917,2.908228874206543,0.9762814044952393
2864601_0.437,19,1,gbdrift,13,4.49809065181762,0,9.806400912753059,5.209133148193359,1.959015130996704
2864601_0.437,19,2,cvdrift,13,0.9700984600931406,9,13.358018163343614,4.466676712036133,1.555158257484436
2864601_0.437,19,3,gbdrift0_over_shat,13,2.6081559285521507,0,12.727775478598167,3.174631118774414,0.9368426203727722
2864601_0.437,19,4,gds2,13,0.3701055636629462,8,20.357230430657726,0.8806721568107605,0.28190621733665466
2864601_0.437,19,5,gds21_over_shat,13,0.5258046395611018,17,15.704249299150883,1.1272379159927368,0.3863576054573059
2864601_0.437,19,6,gds22_over_shat_squared,13,0.1180708222091198,17,20.96317339792575,1.224064826965332,0.3669322431087494
2864601_0.437,20,0,bmag,13,1.3182201921008527,0,14.513227830037597,1.7800816297531128,0.6239469051361084
2864601_0.437,20,1,gbdrift,13,7.833072945475578,0,11.863263319162199,7.833073139190674,2.341430425643921
2864601_0.437,20,2,cvdrift,13,1.9610431937035173,0,17.74953428510514,2.0705180168151855,0.6995717287063599
2864601_0.437,20,3,gbdrift0_over_shat,13,6.216677501797676,0,12.321469519834151,6.216677665710449,1.7890857458114624
2864601_0.437,20,4,gds2,13,0.07049492979422212,25,28.052539755306398,0.43421339988708496,0.1426703780889511
2864601_0.437,20,5,gds21_over_shat,13,0.35120763164013624,17,17.99080817030519,0.8843337297439575,0.28651896119117737
2864601_0.437,20,6,gds22_over_shat_squared,13,0.2348070729058236,28,26.28206172724812,0.8733787536621094,0.2768944203853607
2864601_0.437,21,0,bmag,13,0.7905146740376949,6,12.482916285094241,4.248286247253418,1.3218368291854858
2864601_0.437,21,1,gbdrift,13,6.315857157111168,0,10.257321585815584,6.315857410430908,2.0609474182128906
2864601_0.437,21,2,cvdrift,13,1.4426357997581363,10,15.589149133455983,2.704467296600342,0.875085175037384
2864601_0.437,21,3,gbdrift0_over_shat,13,1.2800037246197462,0,16.900201950886437,1.5891616344451904,0.5928823947906494
2864601_0.437,21,4,gds2,13,0.4244902888312936,2,23.590189753965348,0.7835102677345276,0.27610334753990173
2864601_0.437,21,5,gds21_over_shat,13,0.11205240269191563,12,25.607310182174626,1.1072531938552856,0.43380430340766907
2864601_0.437,21,6,gds22_over_shat_squared,13,0.0058656493201851845,20,20.783919263164993,0.5475718975067139,0.17797353863716125
2864601_0.437,22,0,bmag,13,1.064854972064495,7,14.976441738383937,3.437161445617676,1.0569788217544556
2864601_0.437,22,1,gbdrift,13,2.1269069043919444,0,14.031742930337757,2.2033579349517822,0.7517707347869873
2864601_0.437,22,2,cvdrift,13,0.46642051078379154,29,23.33031814863039,1.5123085975646973,0.495374858379364
2864601_0.437,22,3,gbdrift0_over_shat,13,5.589441508054733,0,13.471828860071843,7.068872451782227,2.062746524810791
2864601_0.437,22,4,gds2,13,0.1716177170164883,12,22.135444922249608,0.8200981020927429,0.28311023116111755
2864601_0.437,22,5,gds21_over_shat,13,1.5623961752280593,0,15.10875648085688,1.6074713468551636,0.5069107413291931
2864601_0.437,22,6,gds22_over_shat_squared,13,0.7175380755215883,0,18.514742182297777,0.8769063353538513,0.28294408321380615
2864601_0.437,23,0,bmag,13,1.118518441915512,7,11.865380019565137,3.6779887676239014,1.1954841613769531
