member_id,function,point_delta_residual_std_vs_f,bootstrap_median_delta,ci_95_lower,ci_95_upper,probability_improved
2864601_0.481,shift_averaged_bar_f,-0.010125010117633781,-0.010048953390176155,-0.014105551563246183,-0.00571006170699639,1.0
2864601_0.289,shift_averaged_bar_f,-0.008124017092096925,-0.007990947836802653,-0.011945444009696661,-0.004424111746804158,1.0
2864601_0.393,shift_averaged_bar_f,-0.0047604952358129005,-0.004818831660841821,-0.007946115482563706,-0.0017684935712658613,1.0
2864601_0.406,shift_averaged_bar_f,-0.012022505114020976,-0.012063538761606013,-0.016620065237973228,-0.007971860180989243,1.0
2864601_0.206,shift_averaged_bar_f,-0.006793254508346447,-0.006856795803434235,-0.00947690889974758,-0.00393387385143109,1.0
2864601_0.284,shift_averaged_bar_f,-0.009895084157189316,-0.009863743619963491,-0.014583156845430944,-0.0058749553089429965,1.0
2864601_0.235,shift_averaged_bar_f,-0.011859662806081195,-0.01187449433657034,-0.01510110807438452,-0.008819319269519682,1.0
2864601_0.405,shift_averaged_bar_f,-0.01116120208208804,-0.011143340736611246,-0.015134342624899436,-0.007292359421159461,1.0
2864601_0.398,shift_averaged_bar_f,-0.008549462649868111,-0.008496845729948521,-0.0112420699126357,-0.005754475856805985,1.0
2864601_0.358,shift_averaged_bar_f,-0.013437632640019737,-0.01337835806396781,-0.016891752879306568,-0.009904820070919227,1.0
2864601_0.242,shift_averaged_bar_f,-0.010733860218728741,-0.010747480018729938,-0.014116749518055676,-0.007586700647308143,1.0
2864601_0.490,shift_averaged_bar_f,-0.009696150649258772,-0.009606775727249328,-0.01337942402967127,-0.006493476923067097,1.0
2864601_0.263,shift_averaged_bar_f,-0.011244390257062087,-0.011279186528895424,-0.014964877474089162,-0.007592125082894017,1.0
2864601_0.211,shift_averaged_bar_f,-0.011466200145980765,-0.011451048400174108,-0.01552318741225579,-0.007569628824557598,1.0
2864601_0.292,shift_averaged_bar_f,-0.013573081187714442,-0.01379089891151132,-0.01754954774534592,-0.009824440039964438,1.0
2864601_0.276,shift_averaged_bar_f,-0.010324633383023307,-0.010405348117237423,-0.014044937459763127,-0.00627305401786336,1.0
2864601_0.427,shift_averaged_bar_f,-0.00794100182775248,-0.007992887791214986,-0.010477632571828517,-0.005066685275968377,1.0
2864601_0.461,shift_averaged_bar_f,-0.0164106067685858,-0.016252410721826066,-0.020879251775005592,-0.012090324547395606,1.0
2864601_0.471,shift_averaged_bar_f,-0.009889174444028315,-0.01009793605244945,-0.013592785236814613,-0.006392554348110168,1.0
2864601_0.440,shift_averaged_bar_f,-0.005567209669265272,-0.0054214397464174835,-0.009010156059954146,-0.002121603729511911,0.998
2864601_0.457,shift_averaged_bar_f,-0.006366995092381034,-0.006333292936777535,-0.01007441402707933,-0.0028856729409092135,1.0
2864601_0.400,shift_averaged_bar_f,-0.007200304928844492,-0.007291489174606147,-0.00968143889389533,-0.0046120469806397646,1.0
2864601_0.385,shift_averaged_bar_f,-0.011203052820130843,-0.011203991617372094,-0.015652315942442218,-0.006179913645351237,1.0
2864601_0.350,shift_averaged_bar_f,-0.0167289374942593,-0.01681804854544132,-0.020856539955351847,-0.01259246890624412,1.0
2864601_0.416,shift_averaged_bar_f,-0.009775962835730345,-0.009817534985792409,-0.012600416454745023,-0.007024092754482567,1.0
2864601_0.342,shift_averaged_bar_f,-0.004801433985074599,-0.004792024424618402,-0.007333088312828315,-0.002204791575421842,1.0
2864601_0.359,shift_averaged_bar_f,-0.010657040491606318,-0.010598600297927835,-0.014196667095644225,-0.007232610861919998,1.0
2864601_0.475,shift_averaged_bar_f,-0.010954713643689051,-0.010873963610645604,-0.014797054769493787,-0.007382334263169121,1.0
2864601_0.462,shift_averaged_bar_f,-0.010425958064321006,-0.010476743906705777,-0.014107985036417693,-0.006930904594760665,1.0
2864601_0.268,shift_averaged_bar_f,-0.013403500128260581,-0.01325539510555307,-0.01775156475805077,-0.009590391230730985,1.0
2864601_0.262,shift_averaged_bar_f,-0.007588372097645846,-0.007619416590876338,-0.010633114640457107,-0.004428974726995102,1.0
2864601_0.485,shift_averaged_bar_f,-0.0065750761817552905,-0.006744192203452848,-0.00951853025910009,-0.0038715682985696015,1.0
2864601_0.473,shift_averaged_bar_f,-0.005558107893030018,-0.005600775310982936,-0.008187948893792532,-0.003009546977830971,1.0
2864601_0.189,shift_averaged_bar_f,-0.011045526845066711,-0.011174829173324713,-0.014544666392998323,-0.00722927724600646,1.0
2864601_0.395,shift_averaged_bar_f,-0.009096764887683184,-0.00926597846089719,-0.01242936667536691,-0.005831739292821415,1.0
2864601_0.237,shift_averaged_bar_f,-0.012396973298690106,-0.012353834521110385,-0.016892687098091948,-0.008593723399568749,1.0
2864601_0.372,shift_averaged_bar_f,-0.006669159482415199,-0.006702626782440824,-0.00972675975789291,-0.0033932780230572115,1.0
2864601_0.472,shift_averaged_bar_f,-0.011776221660793063,-0.011634094234041797,-0.016749416139105532,-0.007725798033627888,1.0
2864601_0.436,shift_averaged_bar_f,-0.007377145317219058,-0.007450042597871603,-0.009984138797544178,-0.004598425328366523,1.0
2864601_0.454,shift_averaged_bar_f,-0.013667999641828799,-0.013547699895789578,-0.01823094910866565,-0.009469742300645513,1.0
2864601_0.377,shift_averaged_bar_f,-0.008232850421889537,-0.008316030313258449,-0.0119507939128597,-0.004393629553178545,1.0
2864601_0.212,shift_averaged_bar_f,-0.012470637670971563,-0.012442297221522403,-0.016442010977031157,-0.008786816358809658,1.0
2864601_0.123,shift_averaged_bar_f,-0.0078017528506351685,-0.007772859064463844,-0.01029410773623375,-0.005391196947550449,1.0
2864601_0.288,shift_averaged_bar_f,-0.006961874402851231,-0.007058554566249042,-0.010680155890397676,-0.0036778168970681806,1.0
2864601_0.349,shift_averaged_bar_f,-0.010135169943568889,-0.0101195312865133,-0.013864620046067177,-0.0068288425942967315,1.0
2864601_0.510,shift_averaged_bar_f,-0.009843958478110093,-0.009954881086057105,-0.014561561331777452,-0.0047977122826733986,1.0
2864601_0.376,shift_averaged_bar_f,-0.00783614865273019,-0.007738583578878189,-0.010851659603566797,-0.004700358062962434,1.0
2864601_0.305,shift_averaged_bar_f,-0.010857821976273108,-0.010681662800799047,-0.014481311759361435,-0.007488335072949566,1.0
2864601_0.496,shift_averaged_bar_f,-0.01007753066594369,-0.009939067836092996,-0.014542764547008803,-0.006267626072566834,1.0
2864601_0.261,shift_averaged_bar_f,-0.007730720117206935,-0.00791936122781317,-0.011237422709309048,-0.0040763111111390415,1.0
2864601_0.252,shift_averaged_bar_f,-0.006163831211785542,-0.006046202180913285,-0.00933370746557932,-0.002966658795623386,1.0
2864601_0.208,shift_averaged_bar_f,-0.008253305760378471,-0.008193542736664838,-0.01163894939542394,-0.004901276775770889,1.0
2864601_0.230,shift_averaged_bar_f,-0.010310327667775065,-0.01029107109952157,-0.013579931317122618,-0.007135772599680583,1.0
2864601_0.452,shift_averaged_bar_f,-0.004049127948605957,-0.003993251120094937,-0.0069063625548825185,-0.0007436644152823901,0.994
2864601_0.498,shift_averaged_bar_f,-0.00643400379129927,-0.006468812493763715,-0.009496871701685932,-0.0027043303879979667,1.0
2864601_0.271,shift_averaged_bar_f,-0.007070047663666035,-0.007063210743852633,-0.010166923889835495,-0.0040258797584431195,1.0
2864601_0.450,shift_averaged_bar_f,-0.010123982022538336,-0.00991694566207968,-0.014071765216653619,-0.005982412196369002,1.0
2864601_0.46,shift_averaged_bar_f,-0.014090298038617444,-0.013867796576629648,-0.020520434755829972,-0.009127628543251382,1.0
2864601_0.308,shift_averaged_bar_f,-0.007492251354187018,-0.007406308590366312,-0.010472775400887988,-0.004056403273690699,1.0
2864601_0.163,shift_averaged_bar_f,-0.013699795994937758,-0.013551016125047582,-0.01718615982004825,-0.010100158574101068,1.0
2864601_0.246,shift_averaged_bar_f,-0.009972546947592975,-0.010053603897893643,-0.013367739350381942,-0.006951362653262277,1.0
2864601_0.438,shift_averaged_bar_f,-0.01659417971462268,-0.016594759448282398,-0.020294449951839325,-0.012888312908848855,1.0
2864601_0.362,shift_averaged_bar_f,-0.011341738567457849,-0.011346462066601337,-0.01518969857771811,-0.0077507575837311785,1.0
2864601_0.136,shift_averaged_bar_f,-0.006680201242538153,-0.00667572184695886,-0.009831095726623124,-0.0036023947685841153,1.0
2864601_0.250,shift_averaged_bar_f,-0.009133083022618504,-0.009155353071631261,-0.012903189956203171,-0.005519399228068212,1.0
2864601_0.247,shift_averaged_bar_f,-0.012624701699809504,-0.012399814248078178,-0.018168733169356407,-0.007418645199390629,1.0
2864601_0.382,shift_averaged_bar_f,-0.009620527856953554,-0.009444498434014459,-0.013451948062408061,-0.005547235593888505,1.0
2864601_0.307,shift_averaged_bar_f,-0.009772884737773546,-0.009919340413860778,-0.013004746259253203,-0.006558378613471605,1.0
2864601_0.339,shift_averaged_bar_f,-0.012247218117614977,-0.01228133651653901,-0.01556999795554746,-0.008540039047908975,1.0
2864601_0.426,shift_averaged_bar_f,-0.01117251240726519,-0.011305666444047568,-0.014527250247200703,-0.007713222783866201,1.0
