entity,entity_type,gradient_set,stratum,n,mean_signed_change,mean_absolute_change,rms_change,max_absolute_change,relative_l2_change
2864601_0.449,member,varied,stable_near_floor,240,2.7939677238464355e-09,8.015582958857218e-08,1.1507469368291429e-07,3.5762786865234375e-07,6.000741515844586e-08
2864601_0.449,member,varied,unstable,760,6.021122987333097e-09,8.54935742130405e-08,1.4208490945159096e-07,4.76837158203125e-07,6.720137825098354e-08
2864601_0.449,member,fixed,all,1000,-2.002716064453125e-08,1.4448165893554687e-07,1.9804534585280596e-07,7.152557373046875e-07,9.710498865152766e-08
2864601_0.449,member,fixed,stable_near_floor,23,-3.109807553498641e-08,1.7622242803158966e-07,2.278168406262181e-07,4.76837158203125e-07,1.1185386661978841e-07
2864601_0.449,member,fixed,unstable,977,-1.9766535217222683e-08,1.4373443509807606e-07,1.9729036324347325e-07,7.152557373046875e-07,9.673172750956638e-08
2864601_0.340,member,varied,all,1000,3.969995304942131e-09,8.483114652335643e-08,1.3704941121680738e-07,4.76837158203125e-07,6.639078659948638e-08
2864601_0.340,member,varied,stable_near_floor,240,2.1886080503463746e-09,8.324471612771353e-08,1.248743480379502e-07,2.384185791015625e-07,6.50162274566268e-08
2864601_0.340,member,varied,unstable,760,4.5325386484986855e-09,8.533212454303315e-08,1.4067542168979298e-07,4.76837158203125e-07,6.674658519997099e-08
2864601_0.340,member,fixed,all,1000,-8.106231689453126e-09,1.7261505126953124e-07,2.2542851740975978e-07,7.152557373046875e-07,1.1257989548514967e-07
2864601_0.340,member,fixed,stable_near_floor,23,-1.1920928955078125e-07,2.539676168690557e-07,3.114555024597669e-07,7.152557373046875e-07,1.557612384797136e-07
2864601_0.340,member,fixed,unstable,977,-5.4907042270063015e-09,1.7069989363515146e-07,2.2300385378679487e-07,7.152557373046875e-07,1.1136532329228093e-07
2864601_0.296,member,varied,all,1000,-7.22147524356842e-09,8.196942508220672e-08,1.3257057409029341e-07,4.76837158203125e-07,6.38899008951044e-08
2864601_0.296,member,varied,stable_near_floor,240,-9.406358003616333e-09,8.099401990572612e-08,1.208022672357903e-07,2.384185791015625e-07,6.293415059038264e-08
2864601_0.296,member,varied,unstable,760,-6.531512266711185e-09,8.227744776951639e-08,1.3607559842542357e-07,4.76837158203125e-07,6.413461130046705e-08
2864601_0.296,member,fixed,all,1000,4.410743713378906e-09,1.1432170867919921e-07,1.6719076297691313e-07,4.76837158203125e-07,7.950176704990837e-08
2864601_0.296,member,fixed,stable_near_floor,23,-1.0366025178328804e-08,1.1402627696161685e-07,1.6488172407343975e-07,2.384185791015625e-07,7.584932744990381e-08
2864601_0.296,member,fixed,unstable,977,4.758610330072128e-09,1.1432866357122009e-07,1.6724473703176557e-07,4.76837158203125e-07,7.959162362769118e-08
2864601_0.270,member,varied,all,1000,-1.034233719110489e-09,8.387817069888115e-08,1.345102950972334e-07,4.76837158203125e-07,6.530851608288504e-08
2864601_0.270,member,varied,stable_near_floor,240,-3.135452667872111e-09,9.123856822649638e-08,1.320325079470436e-07,3.5762786865234375e-07,6.931550482579404e-08
2864601_0.270,member,varied,unstable,760,-3.706908931857661e-10,8.155383463752897e-08,1.352833261305409e-07,4.76837158203125e-07,6.42329002859165e-08
2864601_0.270,member,fixed,all,1000,-2.6941299438476563e-08,1.239776611328125e-07,1.6319050749442677e-07,4.76837158203125e-07,8.220523531799473e-08
2864601_0.270,member,fixed,stable_near_floor,23,-7.256217624830164e-08,1.2439230213994565e-07,1.7221334421983127e-07,3.5762786865234375e-07,8.663911154674159e-08
