entity,function,stratum,n,r2,mse,bias,residual_q01,residual_q05,residual_q25,residual_q50,residual_q75,residual_q95,residual_q99,residual_std,cost_scope,wall_seconds,microseconds_per_sample
2864601_0.371,original_f,stable_near_floor,3170.0,-920.763299404389,0.02441405063014934,0.028628867497955585,-0.030416221618652345,-0.01430232524871826,-0.006598949432373047,-0.002256155014038086,0.006224393844604492,0.156531798839569,0.7183738052844987,0.15362904661943755,single_member,3.027225791942328,309.3741228351894
2864601_0.371,original_f,unstable,6615.0,0.9715371868879611,0.08555901471404244,-0.018470341234154843,-0.8972630500793457,-0.44768850430846213,-0.13468533754348755,-0.011983990669250488,0.11097526550292969,0.38971400260925243,0.7647266559302807,0.2919430521098296,single_member,3.027225791942328,309.3741228351894
2864601_0.371,shift_averaged_bar_f,all,9785.0,0.9875146561665978,0.060455892724622484,-0.0051843547535205745,-0.7645565617084503,-0.3409290313720703,-0.07059592008590698,-0.0031652450561523438,0.05984079837799072,0.3156647264957422,0.7315090847015374,0.2458357002150483,single_member,78.00097887497395,7971.484810932443
2864601_0.371,shift_averaged_bar_f,stable_near_floor,3170.0,-842.0841138053994,0.022330134268981724,0.02850353894079521,-0.028384921550750734,-0.01377162933349609,-0.006534099578857422,-0.002246856689453125,0.00665399432182312,0.15994815826416,0.6540537142753593,0.146712210096084,single_member,78.00097887497395,7971.484810932443
2864601_0.371,shift_averaged_bar_f,unstable,6615.0,0.9738102222786555,0.07872628642142993,-0.021328061935830634,-0.8470074462890625,-0.4288893222808838,-0.13143190741539001,-0.01354527473449707,0.10197466611862183,0.35562484860420185,0.751296257972715,0.27979141229798726,single_member,78.00097887497395,7971.484810932443
2864601_0.371,invariant_tilde_f,all,9785.0,0.9873669109096236,0.061171297244145065,-0.0036566863795196307,-0.7530800819396972,-0.3382147908210754,-0.06836128234863281,-0.0031213760375976562,0.061512112617492676,0.31878260970115624,0.7447124767303446,0.24731392338271954,single_member,3.9388636671938,402.54099818025554
2864601_0.371,invariant_tilde_f,stable_near_floor,3170.0,-857.2933833425126,0.022732970742040053,0.027580518376564,-0.02973519802093506,-0.01395120620727539,-0.006672024726867676,-0.002360105514526367,0.006081938743591309,0.15138900279998777,0.6742615258693693,0.1482539013172056,single_member,3.9388636671938,402.54099818025554
2864601_0.371,invariant_tilde_f,unstable,6615.0,0.9735224000856625,0.07959147789594748,-0.01862598933897316,-0.8458626258373261,-0.42472888231277467,-0.13002681732177734,-0.010913372039794922,0.10413181781768799,0.3589581489562986,0.7626575589179991,0.2815253660901658,single_member,3.9388636671938,402.54099818025554
2864601_0.409,original_f,all,9785.0,0.986001407464925,0.06778326811730123,0.009043933673486123,-0.7705523115955293,-0.33919962644577023,-0.05778670310974121,0.005335569381713867,0.08337461948394775,0.3573793888092038,0.7654297113418578,0.26020836841298844,single_member,2.9041776251979172,296.7989397238546
2864601_0.409,original_f,stable_near_floor,3170.0,-1016.0871299634284,0.026938821172686613,0.0317225273475286,-0.08437127351760865,-0.04316014051437377,-0.011814236640930176,0.005880534648895264,0.02508300542831421,0.16884738802909843,0.6483130455017087,0.1610611238410849,single_member,2.9041776251979172,296.7989397238546
2864601_0.409,original_f,unstable,6615.0,0.9709392212631509,0.08735649514896086,-0.0018239638241275777,-0.9374162930250167,-0.4264095902442932,-0.1151861846446991,0.003834962844848633,0.12641894817352295,0.40660166516900015,0.7859907650947551,0.29557803642684227,single_member,2.9041776251979172,296.7989397238546
2864601_0.409,shift_averaged_bar_f,all,9785.0,0.9868259360718985,0.06379077790824406,0.007203064299664805,-0.7669508934020997,-0.3269540786743164,-0.05464315414428711,0.0049707889556884766,0.07959818840026855,0.3462259292602538,0.6956542050838469,0.25247853052840125,single_member,74.09801116585732,7572.612280619041
2864601_0.409,shift_averaged_bar_f,stable_near_floor,3170.0,-969.6709207437157,0.02570942998008661,0.03136887715347934,-0.07345428466796874,-0.04027645587921142,-0.011344552040100098,0.005271434783935547,0.0238305926322937,0.1693669676780697,0.5878088068962095,0.15726800630023416,single_member,74.09801116585732,7572.612280619041
2864601_0.409,shift_averaged_bar_f,unstable,6615.0,0.9727078899948587,0.08203988946262943,-0.00437752931282077,-0.9357885774970055,-0.42420032396912555,-0.11365306377410889,0.004574775695800781,0.12278616428375244,0.3845372170209885,0.7247979098558407,0.2864142590327202,single_member,74.09801116585732,7572.612280619041
2864601_0.409,invariant_tilde_f,all,9785.0,0.9867380122870425,0.06421651795802792,0.008937529741350859,-0.7556154233217239,-0.32457199096679684,-0.054407358169555664,0.0054585933685302734,0.08117449283599854,0.35449650436639646,0.7098593521118162,0.25326506624002154,single_member,3.9111358746886253,399.7072942962315
2864601_0.409,invariant_tilde_f,stable_near_floor,3170.0,-978.8414184731132,0.025952322050115707,0.030754039819684314,-0.0747146201133728,-0.04052745103836059,-0.01176983118057251,0.005062878131866455,0.023494839668273926,0.16576070189475978,0.5869546663761132,0.15815941977464984,single_member,3.9111358746886253,399.7072942962315
2864601_0.409,invariant_tilde_f,unstable,6615.0,0.9725371100368683,0.08255325280732219,-0.0015172453075254903,-0.9258574077486992,-0.4178557813167572,-0.11098498106002808,0.006137147545814514,0.1250421404838562,0.3884885191917417,0.7461018139123904,0.2873385320809693,single_member,3.9111358746886253,399.7072942962315
2864601_0.386,original_f,all,9785.0,0.986335575055381,0.0661651789184596,0.0026528235678814445,-0.7436302995681763,-0.34564498662948606,-0.06794798374176025,0.0028345584869384766,0.06750988960266113,0.3563073635101317,0.7744161033630362,0.2572253939954718,single_member,3.3496990827843547,342.3300033504706
2864601_0.386,original_f,stable_near_floor,3170.0,-961.581153088648,0.025495162393988764,0.030331368763176048,-0.014859590530395508,-0.007375454902648925,-0.0008270144462585449,0.003664374351501465,0.009071707725524902,0.1225488662719719,0.7250239026546477,0.15678942990194003,single_member,3.3496990827843547,342.3300033504706
2864601_0.386,original_f,unstable,6615.0,0.9715053166356569,0.08565481646684547,-0.01061112023696873,-0.92653775036335,-0.4268867433071136,-0.1303473711013794,-0.0066648125648498535,0.1189788430929184,0.4082965970039364,0.7809825655817982,0.292498126664023,single_member,3.3496990827843547,342.3300033504706
2864601_0.386,shift_averaged_bar_f,all,9785.0,0.9876924963427768,0.059594764128032565,0.002035095099443389,-0.7270496201515197,-0.3209347724914551,-0.06021308898925781,0.0029740333557128906,0.06175267696380615,0.32761440277099574,0.7139005190134048,0.24412438046128146,single_member,85.05018491717055,8691.894217390962
2864601_0.386,shift_averaged_bar_f,stable_near_floor,3170.0,-800.9996251541314,0.021241960345487504,0.029497173569555914,-0.014252886772155762,-0.006822943687438965,-0.0005259513854980469,0.004078567028045654,0.009509265422821045,0.12358648777008038,0.6320956802368164,0.1427526027239471,single_member,85.05018491717055,8691.894217390962
2864601_0.386,shift_averaged_bar_f,unstable,6615.0,0.9740604974250453,0.07797396110319021,-0.011125114840126786,-0.8874926808476448,-0.3985946998000145,-0.12266138195991516,-0.00715327262878418,0.10885560512542725,0.3723470680415629,0.7455433881282749,0.279037566358007,single_member,85.05018491717055,8691.894217390962
2864601_0.386,invariant_tilde_f,all,9785.0,0.9874594673640894,0.060723125118745475,0.004359867924385465,-0.7177983045578002,-0.3157114028930664,-0.0584254264831543,0.002899646759033203,0.06355762481689453,0.33603579998016264,0.7161716413497915,0.24639464502647784,single_member,6.48326937481761,662.5722406558621
2864601_0.386,invariant_tilde_f,stable_near_floor,3170.0,-830.5021344138619,0.022023371099472746,0.02821369125545965,-0.014515061378479004,-0.007398939132690428,-0.0009236931800842285,0.0036509037017822266,0.008904516696929932,0.10081200599670401,0.626279352903365,0.14571910364108306,single_member,6.48326937481761,662.5722406558621
2864601_0.386,invariant_tilde_f,unstable,6615.0,0.9736298163144521,0.07926858547265242,-0.0070712159697196245,-0.8742354667186737,-0.39422590732574464,-0.12025636434555054,-0.004473567008972168,0.11182442307472229,0.3829679310321803,0.7641339129209513,0.281479236865528,single_member,6.48326937481761,662.5722406558621
2864601_0.355,original_f,all,9785.0,0.985904257311202,0.0682536836180703,0.009239795300692551,-0.7714062404632568,-0.33751947879791255,-0.05778275430202484,0.002036571502685547,0.07760119438171387,0.37541599273681636,0.7647031867504112,0.2611039584649687,single_member,3.026239584200084,309.2733351252002
2864601_0.355,original_f,stable_near_floor,3170.0,-1140.2904574640886,0.030228501210928,0.033490174101542224,-0.020114593505859375,-0.008910894393920898,-0.0013953447341918945,0.002080082893371582,0.006195187568664551,0.14381626248359514,0.7798004972934721,0.1706343879098817,single_member,3.026239584200084,309.2733351252002
2864601_0.355,original_f,unstable,6615.0,0.9712321744731502,0.08647587987364719,-0.002381323489737299,-0.8882246488332748,-0.4118566542863845,-0.12482237815856934,0.0010905265808105469,0.1301661729812622,0.40711130872368645,0.7576212102174739,0.29408040224842397,single_member,3.026239584200084,309.2733351252002
2864601_0.355,shift_averaged_bar_f,all,9785.0,0.9872691561174186,0.061644640494416494,0.007852146263965645,-0.7331413650512695,-0.31793115139007566,-0.05504322052001953,0.0021170377731323242,0.07163500785827637,0.34400086402893043,0.7219283294677729,0.2481718729989128,single_member,69.25378974992782,7077.546218694718
