entity,entity_type,gradient_set,stratum,n,transform,mean_signed_change,mean_absolute_change,rms_change,max_absolute_change,relative_l2_change,original_reference_residual_std,rms_change_over_residual_std
2864601_0.352,member,fixed,stable_near_floor,23,stellarator_parity,-0.0015252880428148353,0.002627631892328677,0.004187815372214463,0.011116743087768555,0.002126965823765738,,
2864601_0.352,member,fixed,stable_near_floor,23,plain_reversal_control,0.14130172522171683,0.14323059372279956,0.26394182431391544,0.8411984443664551,0.1340544388615729,,
2864601_0.352,member,fixed,unstable,977,stellarator_parity,-0.005641038183546115,0.026089294051928797,0.05821038856878429,0.6201112270355225,0.025189707424841473,,
2864601_0.352,member,fixed,unstable,977,plain_reversal_control,-0.0850315862845252,0.2763848421731039,0.3724539960451197,2.2566072940826416,0.16117410345927138,,
2864601_0.487,member,varied,all,1000,stellarator_parity,0.002449896637350321,0.025561767760664225,0.060333829338126754,0.7607421875,0.02908589932891099,0.2668594680511224,0.22608839693320748
2864601_0.487,member,varied,all,1000,plain_reversal_control,-0.06638058216497301,0.2956811875216663,0.4584960156711769,2.811957359313965,0.22103302742117467,0.2668594680511224,1.7181178506409323
2864601_0.487,member,varied,stable_near_floor,240,stellarator_parity,0.002597455432017644,0.009639206777016322,0.04011226844534301,0.38812780380249023,0.020681399544939017,0.15007611672960383,0.2672794933627871
2864601_0.487,member,varied,stable_near_floor,240,plain_reversal_control,0.02162688399354617,0.07242141688863436,0.2047635465962036,1.776223599910736,0.10557360337686111,0.15007611672960383,1.3643979539071602
2864601_0.487,member,varied,unstable,760,stellarator_parity,0.0024032991232448503,0.03058994491339514,0.06543389978728134,0.7607421875,0.030936307651259334,0.3059945900205392,0.21384005443654816
2864601_0.487,member,varied,unstable,760,plain_reversal_control,-0.09417241358345277,0.366184272984729,0.5131890105056026,2.811957359313965,0.24262917484451377,0.3059945900205392,1.6771179205199542
2864601_0.487,member,fixed,all,1000,stellarator_parity,0.00038766666501760484,0.020553928188979626,0.049350632866057655,0.6888628602027893,0.021522182596404572,,
2864601_0.487,member,fixed,all,1000,plain_reversal_control,-0.11383338217437268,0.28035666298866274,0.37997657634560417,1.9235110878944397,0.1657106461159764,,
2864601_0.487,member,fixed,stable_near_floor,23,stellarator_parity,0.0030980887620345406,0.007733484973078189,0.02115127087775148,0.09030520915985107,0.01086321388723902,,
2864601_0.487,member,fixed,stable_near_floor,23,plain_reversal_control,0.0821941112694533,0.09820769208928813,0.3937270203531594,1.8785582929849625,0.20221673014365787,,
