gradient_set,stratum,n,shift,exact_pooling_subgroup,entity,rms_change_q10,rms_change_median,rms_change_q90,rms_over_residual_std_q10,rms_over_residual_std_median,rms_over_residual_std_q90
varied,all,1000,12,False,member_distribution,0.12531698140503633,0.1456299656234019,0.17042486340732876,0.4568545693687529,0.5427185713161126,0.635824017682881
varied,all,1000,12,False,ensemble_mean,0.015291214285479747,0.015291214285479747,0.015291214285479747,0.0672271401930655,0.0672271401930655,0.0672271401930655
varied,all,1000,12,False,ensemble_spread,0.01663201057211177,0.01663201057211177,0.01663201057211177,,,
varied,all,1000,13,False,member_distribution,0.12954699667023298,0.14866909516747256,0.17498323944958813,0.4742167559560821,0.5539338189223026,0.6580432126266045
varied,all,1000,13,False,ensemble_mean,0.015870413010620116,0.015870413010620116,0.015870413010620116,0.06977356150191022,0.06977356150191022,0.06977356150191022
varied,all,1000,13,False,ensemble_spread,0.014888621190882459,0.014888621190882459,0.014888621190882459,,,
varied,all,1000,14,False,member_distribution,0.11798551772644758,0.1401239229547079,0.1665206314278689,0.43607426285457435,0.5204462142519006,0.6163814550582634
varied,all,1000,14,False,ensemble_mean,0.014813480578357734,0.014813480578357734,0.014813480578357734,0.06512680530114381,0.06512680530114381,0.06512680530114381
varied,all,1000,14,False,ensemble_spread,0.01414437836023006,0.01414437836023006,0.01414437836023006,,,
varied,all,1000,15,False,member_distribution,0.0922121573514523,0.1120245380906712,0.1350073932662086,0.34519005210700443,0.41886359518424315,0.5058689969379456
varied,all,1000,15,False,ensemble_mean,0.011739980293799919,0.011739980293799919,0.011739980293799919,0.05161429866459762,0.05161429866459762,0.05161429866459762
varied,all,1000,15,False,ensemble_spread,0.011163311474173668,0.011163311474173668,0.011163311474173668,,,
varied,all,1000,16,False,member_distribution,0.04742171413128586,0.0633716317241481,0.0873937025650685,0.1741570095063393,0.23466855957283098,0.3208159807008831
varied,all,1000,16,False,ensemble_mean,0.007018616957723487,0.007018616957723487,0.007018616957723487,0.03085703577029561,0.03085703577029561,0.03085703577029561
varied,all,1000,16,False,ensemble_spread,0.006808744688531095,0.006808744688531095,0.006808744688531095,,,
varied,all,1000,17,False,member_distribution,0.09125256280077906,0.11145888630775887,0.13273831556012783,0.3424372920155206,0.4194236464706079,0.4936376707708627
varied,all,1000,17,False,ensemble_mean,0.011409697284604612,0.011409697284604612,0.011409697284604612,0.0501622241760696,0.0501622241760696,0.0501622241760696
varied,all,1000,17,False,ensemble_spread,0.012477344287751593,0.012477344287751593,0.012477344287751593,,,
varied,all,1000,18,False,member_distribution,0.1169858260624023,0.1407671534642409,0.16261411150107355,0.43943763287454957,0.5178795874500934,0.601403974262852
varied,all,1000,18,False,ensemble_mean,0.01408091975872564,0.01408091975872564,0.01408091975872564,0.06190613439810646,0.06190613439810646,0.06190613439810646
varied,all,1000,18,False,ensemble_spread,0.01417431908007681,0.01417431908007681,0.01417431908007681,,,
varied,all,1000,19,False,member_distribution,0.12731779289183884,0.1513889752789686,0.17231556575401935,0.47372496929573626,0.56504913187162,0.6400162356868513
