perturbation,family,registered_dose,path_dose,replicate,validity_tag,n,reconstruction_rms_median,reconstruction_percentile_median,nearest_distance_median,nearest_percentile_median,warning_score_median,warning_score_q90,fraction_outside_heldout_central_95pct,warning_tail_definition,cyclic_anchor,interpretation
common_phase_scramble_r1,common_phase_scramble,1.0,0.0,1,deliberately_off_manifold_diagnostic,1000,0.6488106234996165,0.4697265625,2.0248319668109045,0.5869140625,0.71875,0.96484375,0.114,two_sided_p_below_0.025_or_above_0.975,argmax_joint_robust_standardized_energy,warning_only_not_physical_validity
common_phase_scramble_r1,common_phase_scramble,1.0,0.25,1,deliberately_off_manifold_diagnostic,1000,0.5257918544336957,0.2421875,2.044998606345972,0.5927734375,0.7734375,0.98828125,0.176,two_sided_p_below_0.025_or_above_0.975,argmax_joint_robust_standardized_energy,warning_only_not_physical_validity
common_phase_scramble_r1,common_phase_scramble,1.0,0.5,1,deliberately_off_manifold_diagnostic,1000,0.4837758161415998,0.169921875,2.1291289569710603,0.6328125,0.8125,0.98828125,0.256,two_sided_p_below_0.025_or_above_0.975,argmax_joint_robust_standardized_energy,warning_only_not_physical_validity
common_phase_scramble_r1,common_phase_scramble,1.0,0.75,1,deliberately_off_manifold_diagnostic,1000,0.5515127350342183,0.28515625,2.266603252784153,0.671875,0.767578125,0.98046875,0.155,two_sided_p_below_0.025_or_above_0.975,argmax_joint_robust_standardized_energy,warning_only_not_physical_validity
common_phase_scramble_r1,common_phase_scramble,1.0,1.0,1,deliberately_off_manifold_diagnostic,1000,0.6940469040326005,0.537109375,2.4902615370160497,0.73828125,0.703125,0.9457031250000001,0.095,two_sided_p_below_0.025_or_above_0.975,argmax_joint_robust_standardized_energy,warning_only_not_physical_validity
channel_phase_scramble_r1,channel_phase_scramble,1.0,0.0,1,deliberately_off_manifold_diagnostic,1000,0.6488106234996165,0.4697265625,2.0248319668109045,0.5869140625,0.71875,0.96484375,0.114,two_sided_p_below_0.025_or_above_0.975,argmax_joint_robust_standardized_energy,warning_only_not_physical_validity
channel_phase_scramble_r1,channel_phase_scramble,1.0,0.25,1,deliberately_off_manifold_diagnostic,1000,0.5414958661667497,0.267578125,2.0936384181835463,0.615234375,0.75390625,0.98046875,0.14,two_sided_p_below_0.025_or_above_0.975,argmax_joint_robust_standardized_energy,warning_only_not_physical_validity
channel_phase_scramble_r1,channel_phase_scramble,1.0,0.5,1,deliberately_off_manifold_diagnostic,1000,0.5316084777966233,0.251953125,2.219311779779667,0.66015625,0.7578125,0.98046875,0.132,two_sided_p_below_0.025_or_above_0.975,argmax_joint_robust_standardized_energy,warning_only_not_physical_validity
channel_phase_scramble_r1,channel_phase_scramble,1.0,0.75,1,deliberately_off_manifold_diagnostic,1000,0.6331333212539627,0.447265625,2.383176759517479,0.701171875,0.703125,0.94140625,0.089,two_sided_p_below_0.025_or_above_0.975,argmax_joint_robust_standardized_energy,warning_only_not_physical_validity
channel_phase_scramble_r1,channel_phase_scramble,1.0,1.0,1,deliberately_off_manifold_diagnostic,1000,0.799379915529038,0.6689453125,2.552744399296614,0.751953125,0.6875,0.94140625,0.072,two_sided_p_below_0.025_or_above_0.975,argmax_joint_robust_standardized_energy,warning_only_not_physical_validity
