entity,entity_type,gradient_set,stratum,n,shift,mean_absolute_change,rms_change,max_absolute_change
2864601_0.494,member,fixed,unstable,977,64,1.3841150238911717e-07,2.1138947664386592e-07,1.430511474609375e-06
2864601_0.260,member,varied,all,1000,32,2.8976798057556155e-07,4.0655982595998464e-07,2.86102294921875e-06
2864601_0.260,member,varied,all,1000,64,2.935528755187988e-07,4.2701642774539215e-07,2.86102294921875e-06
2864601_0.260,member,varied,stable_near_floor,240,32,2.449999252955119e-07,3.4742934242902174e-07,1.1920928955078125e-06
2864601_0.260,member,varied,stable_near_floor,240,64,2.950429916381836e-07,4.079762687360669e-07,1.9073486328125e-06
2864601_0.260,member,varied,unstable,760,32,3.0390526119031405e-07,4.2352091940076715e-07,2.86102294921875e-06
2864601_0.260,member,varied,unstable,760,64,2.9308231253372996e-07,4.3285514314533935e-07,2.86102294921875e-06
2864601_0.260,member,fixed,all,1000,32,2.4077296257019045e-07,3.7859625136763556e-07,5.7220458984375e-06
2864601_0.260,member,fixed,all,1000,64,2.3278594017028808e-07,3.324248348133302e-07,3.4570693969726562e-06
2864601_0.260,member,fixed,stable_near_floor,23,32,3.2134678052819293e-07,3.786083380605796e-07,8.344650268554688e-07
2864601_0.260,member,fixed,stable_near_floor,23,64,2.7988267981487774e-07,3.584906633167802e-07,9.5367431640625e-07
2864601_0.260,member,fixed,unstable,977,32,2.3887613778714634e-07,3.7859596682466767e-07,5.7220458984375e-06
2864601_0.260,member,fixed,unstable,977,64,2.3167721446729365e-07,3.317865368867024e-07,3.4570693969726562e-06
2864601_0.434,member,varied,all,1000,32,2.677440643310547e-07,4.3641631954322634e-07,3.337860107421875e-06
2864601_0.434,member,varied,all,1000,64,2.537965774536133e-07,4.1508333973305706e-07,3.337860107421875e-06
2864601_0.434,member,varied,stable_near_floor,240,32,1.9768873850504559e-07,3.2787069818914667e-07,1.9073486328125e-06
2864601_0.434,member,varied,stable_near_floor,240,64,1.9023815790812176e-07,3.130899097504908e-07,1.9073486328125e-06
2864601_0.434,member,varied,unstable,760,32,2.89866798802426e-07,4.654643934997185e-07,3.337860107421875e-06
2864601_0.434,member,varied,unstable,760,64,2.738676573100843e-07,4.42433624137017e-07,3.337860107421875e-06
2864601_0.434,member,fixed,all,1000,32,1.9128620624542236e-07,2.7949549996964204e-07,2.2351741790771484e-06
2864601_0.434,member,fixed,all,1000,64,1.8946826457977295e-07,2.783347848101613e-07,1.6689300537109375e-06
2864601_0.434,member,fixed,stable_near_floor,23,32,1.2439230213994565e-07,2.2232647138603062e-07,7.152557373046875e-07
